Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Flow ID,Src IP,Src Port,Dst IP
3389,6,02/03/2018 09:30:58,9710415,8,8,1144,1581.0,677,0,143.0,227.9699228,1173,0,197.625,406.121705,280.6265232,1.647715365,647361.0,1567724.298,5787878.0,1.0,9710415.0,1387202.143,2284670.421,5985196.0,1.0,9602349.0,1371764.143,2146492.805,5787878.0,192355.0,0,0,0,0,172,172,0.823857683,0.823857683,0,1173,160.2941176,312.0067637,97348.22059,0,0,1,1,0,0,0,1,1,170.3125,143.0,197.625,0,0,0,0,0,0,8,1144,8,1581,8192,62856,5,20,3814509.0,0.0,3814509.0,3814509.0,5787878.0,0.0,5787878.0,5787878.0,Benign,,,,
36631,6,02/03/2018 01:17:08,274335,2,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10.93553502,137167.5,193954.4403,274314.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,7.290356681,3.64517834,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,256,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,,,,
21,6,14/02/2018 10:38:59,1,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,FTP-BruteForce,,,,
21,6,16/02/2018 10:55:07,3,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,333333.3333,333333.3333,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-SlowHTTPTest,,,,
80,6,15/02/2018 09:50:03,1966366,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.0171046489,1966366.0,0.0,1966366,1966366,1966366,1966366.0,0.0,1966366,1966366,0,0.0,0.0,0,0,0,0,0,0,64,0,1.0171046489,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,226,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye,,,,
80,6,23/02/2018 10:38:51,5007487,5,3,646,364,646,0,129.2,288.899982693,364,0,121.3333333333,210.155497985,201.6979774486,1.5976077422,715355.285714286,1862951.96778139,4939792,25,5007487,1251871.75,2458810.17734044,4939792,379,3472,1736.0,828.7291475506,2322,1150,0,0,0,0,112,72,0.9985048389,0.5991029033,0,646,112.2222222222,233.5774913052,54558.4444444445,0,0,1,1,0,0,0,1,0,126.25,129.2,121.3333333333,0,0,0,0,0,0,5,646,3,364,8192,221,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force -Web,,,,
80,6,16/02/2018 01:45:28,28333,3,4,354,935,354,0,118.0,204.3819953,935,0,233.75,467.5,45494.65288,247.0617301,4722.166667,7302.268645,15836,5,12476,6238.0,8473.967666,12230,246,28325,9441.666667,8334.256795,15836,16,0,0,0,0,104,136,105.8835986,141.1781315,0,935,161.125,336.3354777,113121.5536,0,0,0,1,0,0,0,0,1,184.1428571,118.0,233.75,0,0,0,0,0,0,3,354,4,935,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-Hulk,,,,
80,6,15/02/2018 09:53:38,2996023,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.6675516176,2996023.0,0.0,2996023,2996023,2996023,2996023.0,0.0,2996023,2996023,0,0.0,0.0,0,0,0,0,0,0,64,0,0.6675516176,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,226,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye,,,,
22,6,14/02/2018 02:04:03,394980,22,22,1944,2665,640,0,88.3636363636,137.8690011274,976,0,121.1363636364,258.6415602914,11668.9452630513,111.3980454707,9185.5813953488,23189.6798600385,113352,6,394923,18805.8571428571,32610.8126260075,113352,177,394970,18808.0952380952,39142.0622603163,151565,8,0,0,0,0,712,712,55.6990227353,55.6990227353,0,976,102.4222222222,203.7441007388,41511.6585858586,0,0,0,1,0,0,0,0,1,104.75,88.3636363636,121.1363636364,0,0,0,0,0,0,22,1944,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Bruteforce,,,,
22,6,14/02/2018 02:10:22,380281,25,20,1944,2665,640,0,77.76,132.2526874333,976,0,133.25,268.7712537496,12119.9849584912,118.3335480868,8642.75,21682.2310865265,111663,3,380226,15842.75,28329.1409026573,111663,213,380258,20013.5789473684,38533.4053478505,150730,10,0,0,0,0,808,648,65.7408600482,52.5926880386,0,976,100.1956521739,202.0327387733,40817.2275362319,0,0,0,1,0,0,0,0,0,102.4222222222,77.76,133.25,0,0,0,0,0,0,25,1944,20,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Bruteforce,,,,
443,6,02/03/2018 09:03:16,1086840,3,3,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5.520591807,217368.0,263353.7522,506131.0,24994.0,1061816.0,530908.0,466.6904756,531238.0,530578.0,1061846.0,530923.0,328.0975465,531155.0,530691.0,0,0,0,0,92,60,2.760295904,2.760295904,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,8192,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,,,,
80,17,21/02/2018 10:39:41,119820042,122899,0,3932768,0,32,32,32.0,0.0,0,0,0.0,0.0,32822.28861,1025.696519,974.9551823,19921.7666,739400,0,120000000,974.9551823,19921.7666,739400,0,0,0.0,0.0,0,0,0,0,0,0,983192,0,1025.696519,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32.00026038,32.0,0.0,0,0,0,0,0,0,122899,3932768,0,0,-1,-1,122898,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP,,,,
500,17,23/02/2018 10:44:43,89479600,6,0,3000,0,500,500,500.0,0.0,0,0,0.0,0.0,33.5271950255,0.0670543901,17895920.0,15345151.0236164,41990291,4000346,89479600,17895920.0,15345151.0236164,41990291,4000346,0,0.0,0.0,0,0,0,0,0,0,48,0,0.0670543901,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,583.3333333333,500.0,0.0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000346.0,0.0,4000346,4000346,21369813.5,15281098.5508627,41990291,7200184,Brute Force -Web,,,,
22,6,14/02/2018 02:03:58,392834,22,22,1944,2665,640,0,88.3636363636,137.8690011274,976,0,121.1363636364,258.6415602914,11732.6911621703,112.0065982069,9135.6744186047,22001.1001453509,102794,5,392780,18703.8095238095,31040.6037998926,102794,330,392826,18706.0,39397.2172672132,141701,11,0,0,0,0,712,712,56.0032991034,56.0032991034,0,976,102.4222222222,203.7441007388,41511.6585858586,0,0,0,1,0,0,0,0,1,104.75,88.3636363636,121.1363636364,0,0,0,0,0,0,22,1944,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Bruteforce,,,,
80,6,21/02/2018 02:11:42,14299,3,4,312,935,312,0,104.0,180.133284,935,0,233.75,467.5,87208.89573,489.5447234,2383.166667,5468.413862,13539,4,13780,6890.0,9403.105976,13539,241,14295,4765.0,7821.03823,13792,20,0,0,0,0,72,92,209.8048815,279.7398419,0,935,155.875,333.2079735,111027.5536,0,0,1,1,0,0,0,1,1,178.1428571,104.0,233.75,0,0,0,0,0,0,3,312,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC,,,,
80,6,15/02/2018 09:28:28,8976550,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.2228027472,8976550.0,0.0,8976550,8976550,8976550,8976550.0,0.0,8976550,8976550,0,0.0,0.0,0,0,0,0,0,0,64,0,0.2228027472,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,226,-1,0,32,0.0,0.0,0,0,8976550.0,0.0,8976550,8976550,DoS attacks-GoldenEye,,,,
80,6,15/02/2018 11:30:55,108217991,14,3,2530,0,230,0,180.7142857143,97.9375221341,0,0,0.0,0.0,23.3787374597,0.1570903308,6763624.4375,13982184.607672,53251125,3,108217988,8324460.61538462,15175848.3045325,53251125,199,108217987,54108993.5,32682266.8299418,77218846,30999141,0,0,0,0,456,100,0.1293685077,0.0277218231,0,230,140.5555555556,115.375204912,13311.4379084967,0,0,0,1,0,0,0,0,0,148.8235294118,180.7142857143,0.0,0,0,0,0,0,0,14,2530,3,0,26883,0,11,32,5513801.0,1890010.15908434,6850240,4177362,24297596.5,20574187.7983926,53251125,6670301,DoS attacks-Slowloris,,,,
80,6,16/02/2018 01:45:29,31088,3,4,319,935,319,0,106.3333333,184.1747359,935,0,233.75,467.5,40337.10757,225.1672671,5181.333333,11100.66205,27715,7,28071,14035.5,19345.73443,27715,356,31080,10360.0,15409.32247,28070,17,0,0,0,0,104,136,96.50025733,128.6670098,0,935,156.75,333.6853736,111345.9286,0,0,0,1,0,0,0,0,1,179.1428571,106.3333333,233.75,0,0,0,0,0,0,3,319,4,935,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-Hulk,,,,
80,6,16/02/2018 01:45:29,51011,3,4,325,935,325,0,108.3333333,187.6388375,935,0,233.75,467.5,24700.55478,137.2253043,8501.833333,13115.23294,27607,7,27930,13965.0,19292.70142,27607,323,51004,17001.33333,14907.91791,27931,19,0,0,0,0,104,136,58.81084472,78.41445963,0,935,157.5,334.1086222,111628.5714,0,0,0,1,0,0,0,0,1,180.0,108.3333333,233.75,0,0,0,0,0,0,3,325,4,935,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-Hulk,,,,
22,6,14/02/2018 02:12:16,333105,22,21,1928,2665,640,0,87.6363636364,137.7805520365,976,0,126.9047619048,263.5746392887,13788.4450848831,129.0884255715,7931.0714285714,21443.813941569,89181,4,332568,15836.5714285714,28551.1290224597,89181,268,333100,16655.0,35115.6635660528,126591,14,0,0,0,0,712,680,66.0452409901,63.0431845814,0,976,104.3863636364,205.4944367389,42227.9635306554,0,0,0,1,0,0,0,0,0,106.8139534884,87.6363636364,126.9047619048,0,0,0,0,0,0,22,1928,21,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Bruteforce,,,,
21,6,16/02/2018 10:14:55,3,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,333333.3333,333333.3333,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-SlowHTTPTest,,,,
21,6,14/02/2018 10:41:34,20,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,100000.0,20.0,0.0,20,20,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,50000.0,50000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,FTP-BruteForce,,,,
53997,6,01/03/2018 02:31:28,19,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,105263.1579,19.0,0.0,19,19,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,52631.57895,52631.57895,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,288,253,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Infilteration,,,,
80,6,21/02/2018 02:13:00,16241,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,123.1451265,16241.0,0.0,16241,16241,16241,16241.0,0.0,16241,16241,0,0.0,0.0,0,0,0,0,0,0,40,0,123.1451265,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC,,,,
22,6,14/02/2018 02:05:44,388285,22,22,2008,2665,640,0,91.2727272727,138.1821371607,976,0,121.1363636364,258.6415602914,12034.9743101073,113.3188250898,9029.8837209302,23163.116362636,102161,5,387807,18467.0,30825.8907073259,102161,157,388280,18489.5238095238,39473.94386126,128938,14,0,0,0,0,712,712,56.6594125449,56.6594125449,0,976,103.8444444444,203.7502878476,41514.1797979798,0,0,0,1,0,0,0,0,1,106.2045454545,91.2727272727,121.1363636364,0,0,0,0,0,0,22,2008,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Bruteforce,,,,
0,0,02/03/2018 09:53:52,99194250,59,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.594792541,1710245.69,2103872.76,14700000.0,41834.0,99200000.0,1710245.69,2103872.76,14700000.0,41834.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.594792541,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,59,0,0,0,-1,-1,0,0,36700000.0,36700000.0,62700000.0,10800000.0,10500000.0,6010394.205,14700000.0,6218900.0,Benign,,,,
22,6,14/02/2018 02:10:36,373269,22,22,1928,2665,640,0,87.6363636364,137.7805520365,976,0,121.1363636364,258.6415602914,12304.7989519623,117.8774556687,8680.6744186047,25657.2841701282,154848,5,373162,17769.6190476191,37094.5125759541,154848,231,373261,17774.3333333333,44124.8657066889,191944,8,0,0,0,0,712,712,58.9387278344,58.9387278344,0,976,102.0666666667,203.7409674518,41510.3818181818,0,0,0,1,0,0,0,0,1,104.3863636364,87.6363636364,121.1363636364,0,0,0,0,0,0,22,1928,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Bruteforce,,,,
3389,6,02/03/2018 12:22:55,1668363,8,7,1128,1581.0,661,0,141.0,222.6233206,1173,0,225.8571429,430.0986044,1623.74735,8.990849114,119168.7857,245536.366,953162.0,2.0,1668363.0,238337.5714,391102.78,1120423.0,2.0,1560280.0,260046.6667,340340.9223,953162.0,108440.0,0,0,0,0,172,152,4.795119527,4.195729586,0,1173,169.3125,317.731274,100953.1625,0,0,1,1,0,0,0,1,0,180.6,141.0,225.8571429,0,0,0,0,0,0,8,1128,7,1581,8192,62872,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,,,,
21,6,16/02/2018 10:22:35,3,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,333333.3333,333333.3333,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-SlowHTTPTest,,,,
8080,6,02/03/2018 02:29:06,507,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3944.773176,507.0,0.0,507.0,507.0,507.0,507.0,0.0,507.0,507.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,3944.773176,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2052,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot,,,,
80,6,15/02/2018 09:38:19,7002144,5,3,477,972,477,0,95.4,213.3208850535,972,0,324.0,561.1844616523,206.9366182701,1.1425072092,1000306.28571429,2636905.90990102,6980220,4,7002144,1750536.0,3486670.91799718,6980521,26,6980539,3490269.5,4935535.32911076,6980220,319,0,0,0,0,168,104,0.7140670058,0.4284402035,0,972,161.0,342.6047285138,117378.0,0,0,0,1,0,0,0,0,0,181.125,95.4,324.0,0,0,0,0,0,0,5,477,3,972,26883,219,1,32,323.0,0.0,323,323,6980220.0,0.0,6980220,6980220,DoS attacks-GoldenEye,,,,
80,6,15/02/2018 11:05:41,2,1,1,8,0,8,8,8.0,0.0,0,0,0.0,0.0,4000000.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0,0,0,32,32,500000.0,500000.0,0,8,5.3333333333,4.6188021535,21.3333333333,0,1,0,0,1,0,0,0,1,8.0,8.0,0.0,0,0,0,0,0,0,1,8,1,0,211,219,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-Slowloris,,,,
21,6,16/02/2018 10:36:03,2,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-SlowHTTPTest,,,,
80,6,16/02/2018 01:45:28,39120,3,4,367,935,367,0,122.3333333,211.8875488,935,0,233.75,467.5,33282.20859,178.9366053,6520.0,10242.99689,23140,6,15923,7961.5,10836.41142,15624,299,39114,13038.0,11813.11335,23140,49,0,0,0,0,104,136,76.68711656,102.2494888,0,935,162.75,337.4300986,113859.0714,0,0,0,1,0,0,0,0,1,186.0,122.3333333,233.75,0,0,0,0,0,0,3,367,4,935,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-Hulk,,,,
